time,Q1,Q2,T1,T2,Tp
230.5,0,0,293.062,293.059,293.202
231,0,0,293.062,293.047,293.196
231.5,0,0,293.079,293.115,293.18
232,0,0,293.092,293.168,293.169
232.5,0,0,293.052,293.141,293.147
233,0,0,293.02,293.12,293.131
233.5,0,0,293.063,293.105,293.129
234,0,0,293.097,293.094,293.127
234.5,0,0,293.077,293.051,293.09
235,0,0,293.063,293.018,293.062
235.5,0,0,293.057,293.044,293.087
236,0,0,293.053,293.066,293.107
236.5,0,0,293.077,293.06,293.082
237,0,0,293.097,293.055,293.063
237.5,0,0,293.108,293.052,293.073
238,0,0,293.116,293.049,293.081
238.5,0,0,293.121,293.036,293.066
239,0,0,293.125,293.025,293.055
239.5,0,0,293.104,293.068,293.09
240,0,0,293.087,293.099,293.116
240.5,0,0,293.099,293.069,293.162
241,0,0,293.108,293.046,293.198
241.5,0,0,293.083,293.029,293.18
242,0,0,293.065,293.015,293.165
242.5,0,0,293.036,293.06,293.163
243,0,0,293.011,293.097,293.16
243.5,0,0,293.049,293.109,293.201
244,0,0,293.08,293.118,293.234
244.5,0,0,293.076,293.087,293.206
245,0,0,293.074,293.064,293.184
245.5,0,0,293.059,293.06,293.185
246,0,0,293.048,293.058,293.186
246.5,0,0,293.079,293.077,293.142
247,0,0,293.103,293.093,293.108
247.5,0,0,293.113,293.105,293.099
248,0,0,293.121,293.116,293.092
248.5,0,0,293.109,293.109,293.101
249,0,0,293.101,293.104,293.107
249.5,0,0,293.08,293.086,293.103
250,0,0,293.064,293.073,293.099
250.5,0,0,293.074,293.105,293.123
251,0,0,293.081,293.131,293.141
251.5,0,0,293.097,293.105,293.13
252,0,0,293.109,293.086,293.123
252.5,0,0,293.094,293.081,293.126
253,0,0,293.083,293.077,293.127
253.5,0,0,293.094,293.123,293.124
254,0,0,293.103,293.158,293.121
254.5,0,0,293.063,293.114,293.131
255,0,0,293.03,293.081,293.137
255.5,0,0,293.069,293.082,293.126
256,0,0,293.098,293.082,293.116
256.5,0,0,293.104,293.068,293.105
257,0,0,293.11,293.055,293.096
257.5,0,0,293.093,293.109,293.087
258,0,0,293.081,293.151,293.08
258.5,0,0,293.114,293.17,293.081
259,0,0,293.14,293.185,293.082
259.5,0,0,293.157,293.18,293.099
260,0,0,293.17,293.176,293.114
260.5,0,0,293.118,293.157,293.135
261,0,0,293.077,293.143,293.152
261.5,0,0,293.13,293.156,293.119
262,0,0,293.171,293.167,293.093
262.5,0,0,293.14,293.173,293.082
263,0,0,293.116,293.179,293.074
263.5,0,0,293.076,293.192,293.081
264,0,0,293.044,293.202,293.087
264.5,0,0,293.036,293.186,293.099
265,0,0,293.029,293.173,293.108
265.5,0,0,293.015,293.148,293.097
266,0,0,293.004,293.127,293.087
266.5,0,0,293.049,293.152,293.11
267,0,0,293.085,293.17,293.127
267.5,0,0,293.076,293.158,293.137
268,0,0,293.07,293.148,293.145
268.5,0,0,293.064,293.119,293.138
269,0,0,293.059,293.097,293.132
269.5,0,0,293.046,293.068,293.125
270,0,0,293.035,293.044,293.119
270.5,0,0,293.055,293.038,293.136
271,0,0,293.071,293.033,293.148
271.5,0,0,293.063,293.068,293.149
272,0,0,293.057,293.094,293.149
272.5,0,0,293.069,293.112,293.141
273,0,0,293.079,293.125,293.135
273.5,0,0,293.073,293.12,293.121
274,0,0,293.068,293.118,293.112
274.5,0,0,293.063,293.108,293.082
275,0,0,293.058,293.102,293.06
275.5,0,0,293.051,293.099,293.058
276,0,0,293.043,293.097,293.054
276.5,0,0,293.085,293.066,293.049
277,0,0,293.116,293.043,293.044
277.5,0,0,293.136,293.077,293.035
278,0,0,293.151,293.103,293.027
278.5,0,0,293.154,293.092,293.042
279,0,0,293.158,293.082,293.053
279.5,0,0,293.149,293.048,293.087
280,0,0,293.142,293.021,293.115
280.5,0,0,293.129,293.044,293.137
281,0,0,293.119,293.064,293.156
281.5,0,0,293.132,293.101,293.158
282,0,0,293.143,293.129,293.159
282.5,0,0,293.13,293.131,293.136
283,0,0,293.12,293.132,293.118
283.5,0,0,293.086,293.12,293.138
284,0,0,293.059,293.112,293.154
284.5,0,0,293.102,293.129,293.142
285,0,0,293.134,293.142,293.132
285.5,0,0,293.104,293.131,293.116
286,0,0,293.08,293.123,293.104
286.5,0,0,293.104,293.091,293.107
287,0,0,293.124,293.065,293.108
287.5,0,0,293.162,293.086,293.14
288,0,0,293.192,293.102,293.163
288.5,0,0,293.154,293.097,293.126
289,0,0,293.124,293.093,293.098
289.5,0,0,293.131,293.09,293.149
290,0,0,293.137,293.086,293.19
